id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
313,TRD-000313,14,4,FX,BUY,1576319,149.9361,2026-07-08,PENDING
314,TRD-000314,46,4,DERIVATIVE,SELL,62,2782.79,2026-06-13,CONFIRMED
315,TRD-000315,35,6,FIXED_INCOME,SELL,2294137,95.7893,2026-07-15,SETTLED
316,TRD-000316,47,8,DERIVATIVE,SELL,53,1884.99,2026-07-02,PENDING
317,TRD-000317,15,3,FX,BUY,556882,83.3541,2026-07-10,SETTLED
318,TRD-000318,13,6,FX,BUY,806581,85.8126,2026-05-16,PENDING
319,TRD-000319,42,6,FX,SELL,1610883,123.3815,2026-07-15,SETTLED
320,TRD-000320,47,6,DERIVATIVE,BUY,36,3615.55,2026-07-06,PENDING
321,TRD-000321,42,1,FX,BUY,1769654,127.1272,2026-04-25,SETTLED
322,TRD-000322,27,3,EQUITY,BUY,566,642.31,2026-04-07,PENDING
323,TRD-000323,30,6,EQUITY,BUY,3968,600.17,2026-04-01,PENDING
324,TRD-000324,36,7,FIXED_INCOME,BUY,240309,100.8825,2026-06-18,SETTLED
325,TRD-000325,2,9,EQUITY,SELL,1478,114.17,2026-04-17,SETTLED
326,TRD-000326,16,4,EQUITY,SELL,2913,255.25,2026-07-03,CONFIRMED
327,TRD-000327,26,8,EQUITY,BUY,1860,283.98,2026-04-21,SETTLED
328,TRD-000328,6,7,EQUITY,SELL,3099,506.38,2026-04-21,SETTLED
329,TRD-000329,45,3,FX,BUY,1058279,126.9232,2026-06-19,SETTLED
330,TRD-000330,34,1,FIXED_INCOME,BUY,1873494,112.0382,2026-07-09,SETTLED
331,TRD-000331,5,5,EQUITY,BUY,1479,837.31,2026-06-01,SETTLED
332,TRD-000332,38,3,FIXED_INCOME,SELL,745398,93.9783,2026-05-19,CONFIRMED
333,TRD-000333,44,9,FX,SELL,814983,113.5369,2026-05-26,SETTLED
334,TRD-000334,33,6,FIXED_INCOME,BUY,919447,98.1126,2026-04-11,PENDING
335,TRD-000335,50,10,DERIVATIVE,SELL,199,1665.56,2026-06-26,CONFIRMED
336,TRD-000336,32,4,FIXED_INCOME,SELL,4739216,113.2343,2026-07-06,PENDING
337,TRD-000337,43,7,FX,BUY,1629352,93.0975,2026-05-23,SETTLED
338,TRD-000338,6,5,EQUITY,BUY,3122,646.28,2026-05-24,CONFIRMED
339,TRD-000339,21,6,EQUITY,BUY,759,24.57,2026-06-15,CONFIRMED
340,TRD-000340,49,5,DERIVATIVE,BUY,34,482.12,2026-07-15,PENDING
341,TRD-000341,36,9,FIXED_INCOME,SELL,966483,85.7879,2026-06-18,SETTLED
342,TRD-000342,39,10,FIXED_INCOME,SELL,3331609,85.3702,2026-07-13,SETTLED
343,TRD-000343,47,9,DERIVATIVE,BUY,147,2629.47,2026-07-06,SETTLED
344,TRD-000344,18,5,EQUITY,SELL,4049,148.42,2026-05-14,SETTLED
345,TRD-000345,27,5,EQUITY,SELL,640,337.79,2026-05-24,CONFIRMED
346,TRD-000346,39,10,FIXED_INCOME,BUY,3940821,88.2092,2026-06-01,CONFIRMED
347,TRD-000347,22,10,EQUITY,SELL,2709,407.4,2026-07-27,PENDING
348,TRD-000348,9,5,EQUITY,SELL,4951,853.61,2026-05-16,CONFIRMED
349,TRD-000349,12,7,FIXED_INCOME,SELL,2544844,107.0462,2026-07-19,SETTLED
350,TRD-000350,21,7,EQUITY,SELL,3228,341.21,2026-05-19,PENDING
351,TRD-000351,12,9,FIXED_INCOME,BUY,3972367,113.2892,2026-05-15,SETTLED
352,TRD-000352,45,2,FX,SELL,1421336,75.296,2026-06-08,SETTLED
353,TRD-000353,43,3,FX,SELL,1664813,57.047,2026-07-20,CONFIRMED
354,TRD-000354,38,7,FIXED_INCOME,SELL,4660426,86.103,2026-06-23,PENDING
355,TRD-000355,39,2,FIXED_INCOME,BUY,2182312,104.728,2026-06-06,PENDING
356,TRD-000356,3,10,EQUITY,SELL,2726,869.83,2026-07-04,SETTLED
357,TRD-000357,7,5,EQUITY,BUY,4193,677.23,2026-05-15,CONFIRMED
358,TRD-000358,26,8,EQUITY,BUY,2835,897.98,2026-07-04,SETTLED
359,TRD-000359,27,2,EQUITY,BUY,1170,326.53,2026-06-15,SETTLED
360,TRD-000360,34,8,FIXED_INCOME,SELL,4094340,87.9287,2026-07-11,SETTLED
361,TRD-000361,20,1,EQUITY,BUY,195,767.28,2026-04-22,SETTLED
362,TRD-000362,48,4,DERIVATIVE,BUY,142,842.67,2026-07-15,SETTLED
363,TRD-000363,26,3,EQUITY,BUY,3550,368.11,2026-05-15,PENDING
364,TRD-000364,28,7,EQUITY,BUY,1769,201.09,2026-04-19,SETTLED
365,TRD-000365,35,3,FIXED_INCOME,SELL,2834559,90.9122,2026-04-09,CONFIRMED
366,TRD-000366,34,6,FIXED_INCOME,SELL,3392897,102.6101,2026-06-12,CONFIRMED
367,TRD-000367,40,3,FX,SELL,1936617,92.4811,2026-04-22,SETTLED
368,TRD-000368,21,2,EQUITY,BUY,2511,122.92,2026-06-23,SETTLED
369,TRD-000369,33,7,FIXED_INCOME,SELL,1256514,102.2442,2026-07-06,CONFIRMED
370,TRD-000370,41,9,FX,BUY,1173736,25.6963,2026-06-05,SETTLED
371,TRD-000371,21,8,EQUITY,BUY,2951,857.62,2026-07-05,SETTLED
372,TRD-000372,25,9,EQUITY,SELL,3361,622.53,2026-07-23,CONFIRMED
373,TRD-000373,32,3,FIXED_INCOME,BUY,4842900,85.9258,2026-05-10,SETTLED
374,TRD-000374,18,4,EQUITY,SELL,1387,707.05,2026-07-18,PENDING
375,TRD-000375,8,10,EQUITY,BUY,2204,702.1,2026-06-18,SETTLED
376,TRD-000376,49,8,DERIVATIVE,BUY,109,556.96,2026-05-10,SETTLED
377,TRD-000377,29,5,EQUITY,SELL,722,406.38,2026-04-25,SETTLED
378,TRD-000378,14,10,FX,SELL,1815749,106.8445,2026-07-06,PENDING
379,TRD-000379,9,4,EQUITY,BUY,496,521.67,2026-06-20,PENDING
380,TRD-000380,11,6,FIXED_INCOME,SELL,2527103,102.1821,2026-04-05,CONFIRMED
381,TRD-000381,4,5,EQUITY,BUY,1097,239.72,2026-06-27,SETTLED
382,TRD-000382,49,7,DERIVATIVE,SELL,37,2908.26,2026-06-21,CONFIRMED
383,TRD-000383,25,8,EQUITY,BUY,772,374.51,2026-06-23,CONFIRMED
384,TRD-000384,30,8,EQUITY,SELL,4777,22.18,2026-04-24,CONFIRMED
385,TRD-000385,41,6,FX,BUY,1678657,80.5361,2026-05-14,SETTLED
386,TRD-000386,32,5,FIXED_INCOME,SELL,2478951,95.1327,2026-05-19,CONFIRMED
387,TRD-000387,22,1,EQUITY,BUY,825,571.04,2026-07-01,SETTLED
388,TRD-000388,11,8,FIXED_INCOME,SELL,105670,114.7551,2026-07-07,SETTLED
389,TRD-000389,42,5,FX,BUY,1843798,139.9627,2026-06-03,CONFIRMED
390,TRD-000390,17,2,EQUITY,SELL,1365,65.57,2026-06-24,SETTLED
391,TRD-000391,28,2,EQUITY,BUY,18,207.81,2026-04-05,PENDING
392,TRD-000392,15,9,FX,SELL,29476,2.0029,2026-06-27,SETTLED
393,TRD-000393,28,3,EQUITY,SELL,590,221.47,2026-04-24,SETTLED
394,TRD-000394,7,6,EQUITY,SELL,2461,140.67,2026-05-21,SETTLED
395,TRD-000395,5,9,EQUITY,BUY,1354,407.29,2026-05-21,SETTLED
396,TRD-000396,27,10,EQUITY,SELL,1789,96.29,2026-04-05,SETTLED
397,TRD-000397,38,7,FIXED_INCOME,SELL,3701973,94.4351,2026-05-08,SETTLED
398,TRD-000398,42,2,FX,BUY,1170556,90.4691,2026-06-25,SETTLED
399,TRD-000399,43,5,FX,BUY,1095798,91.3535,2026-05-24,CONFIRMED
400,TRD-000400,19,1,EQUITY,BUY,4064,359.58,2026-05-16,PENDING
401,TRD-000401,5,9,EQUITY,BUY,2968,841.85,2026-05-13,PENDING
402,TRD-000402,27,6,EQUITY,BUY,3868,859.92,2026-04-01,PENDING
403,TRD-000403,5,1,EQUITY,SELL,1777,55.05,2026-04-26,CONFIRMED
404,TRD-000404,33,5,FIXED_INCOME,SELL,3653206,106.0543,2026-04-21,PENDING
405,TRD-000405,35,10,FIXED_INCOME,BUY,2427568,87.5079,2026-04-17,SETTLED
406,TRD-000406,10,9,FIXED_INCOME,SELL,3377693,102.5931,2026-04-10,CONFIRMED
407,TRD-000407,47,4,DERIVATIVE,BUY,63,476.75,2026-07-04,CONFIRMED
408,TRD-000408,40,10,FX,BUY,658628,100.1791,2026-05-04,SETTLED
409,TRD-000409,46,3,DERIVATIVE,BUY,42,2507.24,2026-06-17,PENDING
410,TRD-000410,47,5,DERIVATIVE,BUY,96,678.31,2026-06-24,SETTLED
411,TRD-000411,50,1,DERIVATIVE,SELL,110,1396.3,2026-04-09,PENDING
412,TRD-000412,41,2,FX,SELL,964618,77.0087,2026-04-16,PENDING
413,TRD-000413,11,6,FIXED_INCOME,BUY,2240068,108.1999,2026-04-08,PENDING
414,TRD-000414,1,1,EQUITY,BUY,2013,60.46,2026-06-13,SETTLED
415,TRD-000415,12,1,FIXED_INCOME,SELL,1983370,94.6541,2026-07-24,CONFIRMED
416,TRD-000416,18,2,EQUITY,SELL,988,461.8,2026-04-06,SETTLED
417,TRD-000417,34,1,FIXED_INCOME,SELL,678196,111.3097,2026-06-25,SETTLED
418,TRD-000418,21,2,EQUITY,SELL,75,344.65,2026-06-19,SETTLED
419,TRD-000419,48,10,DERIVATIVE,BUY,119,1872.95,2026-07-25,SETTLED
420,TRD-000420,47,9,DERIVATIVE,BUY,39,81.57,2026-07-01,SETTLED
421,TRD-000421,35,6,FIXED_INCOME,BUY,2910329,85.0439,2026-07-28,SETTLED
422,TRD-000422,7,4,EQUITY,BUY,3449,452.99,2026-04-05,SETTLED
423,TRD-000423,6,1,EQUITY,BUY,4267,383.49,2026-06-15,SETTLED
424,TRD-000424,38,2,FIXED_INCOME,BUY,3408058,87.2449,2026-04-14,SETTLED
425,TRD-000425,16,5,EQUITY,SELL,2590,834.92,2026-07-23,CONFIRMED
426,TRD-000426,21,8,EQUITY,SELL,1923,85.72,2026-05-05,PENDING
427,TRD-000427,7,3,EQUITY,BUY,1356,415.62,2026-06-14,SETTLED
428,TRD-000428,35,6,FIXED_INCOME,BUY,3890955,94.2492,2026-06-28,SETTLED
429,TRD-000429,6,3,EQUITY,SELL,4952,55.49,2026-06-05,SETTLED
430,TRD-000430,46,4,DERIVATIVE,SELL,102,2591.63,2026-06-09,SETTLED
431,TRD-000431,2,7,EQUITY,SELL,4564,678.31,2026-05-04,CONFIRMED
432,TRD-000432,7,3,EQUITY,BUY,107,74.27,2026-05-05,SETTLED
433,TRD-000433,26,6,EQUITY,BUY,4780,535.78,2026-04-01,SETTLED
434,TRD-000434,13,8,FX,BUY,202893,135.8376,2026-06-04,SETTLED
435,TRD-000435,30,1,EQUITY,BUY,4711,401.18,2026-07-16,SETTLED
436,TRD-000436,25,7,EQUITY,BUY,2909,208.95,2026-05-09,SETTLED
437,TRD-000437,29,3,EQUITY,BUY,2023,589.6,2026-07-14,PENDING
438,TRD-000438,31,1,FIXED_INCOME,BUY,2446931,96.4905,2026-07-07,PENDING
439,TRD-000439,16,9,EQUITY,BUY,3143,708.09,2026-06-16,PENDING
440,TRD-000440,32,6,FIXED_INCOME,SELL,3357978,93.1131,2026-04-11,PENDING
441,TRD-000441,15,1,FX,SELL,132874,121.4512,2026-07-17,CONFIRMED
442,TRD-000442,50,10,DERIVATIVE,BUY,41,545.66,2026-05-09,PENDING
443,TRD-000443,48,1,DERIVATIVE,BUY,148,4240.2,2026-07-12,SETTLED
444,TRD-000444,12,4,FIXED_INCOME,SELL,3109691,112.4194,2026-04-23,CONFIRMED
445,TRD-000445,37,10,FIXED_INCOME,BUY,4823699,113.4511,2026-07-18,SETTLED
446,TRD-000446,12,8,FIXED_INCOME,BUY,857133,86.685,2026-05-01,PENDING
447,TRD-000447,31,1,FIXED_INCOME,SELL,1790005,109.1934,2026-06-23,SETTLED
448,TRD-000448,21,1,EQUITY,BUY,1220,536.22,2026-05-25,SETTLED
449,TRD-000449,34,6,FIXED_INCOME,BUY,3233906,106.1361,2026-07-19,SETTLED
450,TRD-000450,22,5,EQUITY,SELL,1127,878.76,2026-07-26,CONFIRMED
451,TRD-000451,42,6,FX,BUY,1493070,145.3364,2026-06-08,PENDING
452,TRD-000452,12,7,FIXED_INCOME,SELL,2570589,88.8205,2026-04-23,PENDING
453,TRD-000453,26,10,EQUITY,BUY,1501,550.1,2026-05-21,PENDING
454,TRD-000454,7,8,EQUITY,BUY,2722,675.9,2026-05-12,CONFIRMED
455,TRD-000455,11,2,FIXED_INCOME,SELL,3846603,85.3419,2026-05-08,SETTLED
456,TRD-000456,23,5,EQUITY,BUY,20,62.37,2026-07-24,CONFIRMED
457,TRD-000457,11,7,FIXED_INCOME,SELL,3276871,95.5369,2026-07-04,CONFIRMED
458,TRD-000458,37,4,FIXED_INCOME,BUY,3885673,87.2113,2026-04-10,SETTLED
459,TRD-000459,21,5,EQUITY,BUY,617,320.79,2026-07-06,SETTLED
460,TRD-000460,36,2,FIXED_INCOME,SELL,4149489,106.1351,2026-07-21,SETTLED
461,TRD-000461,39,7,FIXED_INCOME,BUY,549258,88.0377,2026-05-07,CONFIRMED
462,TRD-000462,45,9,FX,SELL,1395374,42.8032,2026-05-04,SETTLED
463,TRD-000463,26,10,EQUITY,SELL,1268,67.96,2026-04-14,SETTLED
464,TRD-000464,19,10,EQUITY,SELL,1645,105.35,2026-05-06,SETTLED
465,TRD-000465,6,8,EQUITY,BUY,2536,710.69,2026-07-16,SETTLED
466,TRD-000466,6,9,EQUITY,SELL,1524,346.5,2026-07-12,SETTLED
467,TRD-000467,29,1,EQUITY,SELL,3612,429.25,2026-05-27,SETTLED
468,TRD-000468,37,1,FIXED_INCOME,BUY,911200,87.5712,2026-06-26,PENDING
469,TRD-000469,27,10,EQUITY,BUY,4545,73.67,2026-07-27,PENDING
470,TRD-000470,27,9,EQUITY,SELL,4701,795.86,2026-07-10,SETTLED
471,TRD-000471,26,1,EQUITY,BUY,995,855.34,2026-07-06,SETTLED
472,TRD-000472,14,4,FX,BUY,99497,63.9675,2026-07-07,SETTLED
473,TRD-000473,39,5,FIXED_INCOME,SELL,662137,87.6108,2026-07-18,CONFIRMED
474,TRD-000474,18,9,EQUITY,SELL,111,712.16,2026-07-04,CONFIRMED
475,TRD-000475,10,3,FIXED_INCOME,BUY,986129,101.8805,2026-04-26,SETTLED
476,TRD-000476,35,6,FIXED_INCOME,SELL,2315738,96.4913,2026-07-19,PENDING
477,TRD-000477,31,1,FIXED_INCOME,BUY,2410341,97.0892,2026-07-02,CONFIRMED
478,TRD-000478,22,4,EQUITY,BUY,3902,830.33,2026-06-01,CONFIRMED
479,TRD-000479,20,5,EQUITY,SELL,4037,775.25,2026-04-28,SETTLED
480,TRD-000480,9,5,EQUITY,SELL,2638,257.09,2026-07-20,SETTLED
481,TRD-000481,13,8,FX,BUY,1925607,123.7362,2026-07-25,PENDING
482,TRD-000482,24,1,EQUITY,BUY,547,293.79,2026-07-05,PENDING
483,TRD-000483,37,1,FIXED_INCOME,BUY,1717016,111.2554,2026-05-27,SETTLED
484,TRD-000484,16,1,EQUITY,SELL,424,827.87,2026-05-09,CONFIRMED
485,TRD-000485,30,9,EQUITY,SELL,1024,619.43,2026-05-12,CONFIRMED
486,TRD-000486,39,8,FIXED_INCOME,BUY,4081084,102.6064,2026-06-12,SETTLED
487,TRD-000487,17,2,EQUITY,SELL,234,360.18,2026-05-28,PENDING
488,TRD-000488,50,4,DERIVATIVE,BUY,166,1164.3,2026-05-09,CONFIRMED
489,TRD-000489,33,1,FIXED_INCOME,BUY,4077015,112.3455,2026-05-20,SETTLED
490,TRD-000490,15,5,FX,SELL,1504725,145.08,2026-06-14,CONFIRMED
491,TRD-000491,23,8,EQUITY,SELL,1797,430.69,2026-07-19,SETTLED
492,TRD-000492,1,9,EQUITY,SELL,4609,589.66,2026-06-10,SETTLED
493,TRD-000493,31,2,FIXED_INCOME,SELL,2419309,104.2178,2026-06-09,SETTLED
494,TRD-000494,13,3,FX,BUY,1896780,9.2708,2026-07-22,CONFIRMED
495,TRD-000495,44,3,FX,BUY,1384474,75.008,2026-06-09,CONFIRMED
496,TRD-000496,26,7,EQUITY,BUY,4786,643.1,2026-05-11,SETTLED
497,TRD-000497,44,9,FX,SELL,1911123,141.1477,2026-06-17,SETTLED
498,TRD-000498,11,9,FIXED_INCOME,BUY,2564439,87.9281,2026-05-24,SETTLED
499,TRD-000499,47,9,DERIVATIVE,BUY,175,4502.98,2026-04-08,CONFIRMED
500,TRD-000500,15,5,FX,SELL,1662745,133.1171,2026-06-09,PENDING
